#begin document (story100.txt); part 000
story100.txt	tok_No	Token				POS		Anaphora     Coreference
story100.txt	0    	கடினமான                                     	JJ             	B-NP 			கடினம்,N                            	-    
story100.txt	1    	நேரத்தில்                                     	N_NN           	I-NP 			நேரம்,N                             	-    
story100.txt	2    	இந்திய                                            	N_NNP          	B-NP 			இந்திய,ADJ                          	-    
story100.txt	3    	செஞ்சிலுவைச்                                  	N_NNP          	I-NP 			செஞ்சிலுவை,N                        	-    
story100.txt	4    	சங்கத்தின்                                     	N_NN           	I-NP 			சங்கத்,N                             	-    
story100.txt	5    	சேவைகளுக்கு                                  	N_NN           	I-NP 			சேவை,N                             	-    
story100.txt	6    	டாக்டர்.ஹர்ஷ்                                   	N_NN           	B-NP 			டாக்டர்.ஹர்ஷ்,N,M,,                    	(1
story100.txt	7    	வர்த்தன்                                            	N_NN           	I-NP 			வர்த்தன்,N,M,,                        	1)
story100.txt	8    	பாராட்டு                                     	N_NN           	I-NP 			பாராட்டு,N                          	-    
story100.txt	9    	-                            	RD_SYM         	I-NP 			-,punc                             	-    
story100.txt	10   	நூற்றாண்டு                                    	QT_QTC         	B-NP 			நூற்றாண்டு,N                         	-    
story100.txt	11   	விழாவில்                                     	N_NN           	I-NP 			விழா,N                             	-    
story100.txt	12   	பேச்சு                                            	N_NN           	B-NP 			பேச்சு,N                            	-    

story100.txt	0    	இந்திய                                            	N_NNP          	B-NP 			இந்திய,ADJ                          	(3
story100.txt	1    	செஞ்சிலுவைச்                                  	N_NN           	I-NP 			செஞ்சிலுவை,N                        	3
story100.txt	2    	சங்கத்தின்                                     	N_NN           	I-NP 			சங்கத்,N                             	3
story100.txt	3    	நூற்றாண்டு                                    	N_NN           	B-NP 			நூற்றாண்டு,N                         	3
story100.txt	4    	விழாவில்                                     	N_NN           	I-NP 			விழா,N                             	3)
story100.txt	5    	மத்திய                                            	JJ             	B-NP 			மத்திய,ADJ,,,                       	(1
story100.txt	6    	சுகாதாரம்                                    	N_NN           	I-NP 			சுகாதாரம்,N                         	1
story100.txt	7    	மற்றும்                                            	CC_CCD         	B-CCP			மற்றும்,CONJ                         	1
story100.txt	8    	குடும்ப                                      	N_NN           	B-NP 			குடும்பம்,N                          	1
story100.txt	9    	நலத்துறை                                     	N_NN           	I-NP 			நலத்துறை,N                          	1
story100.txt	10   	அமைச்சர்                                      	N_NN           	I-NP 			அமைச்சர்,N                           	1)
story100.txt	11   	டாக்டர்                                            	N_NN           	B-NP 			டாக்டர்,N                            	(1
story100.txt	12   	ஹர்ஷ்                                              	N_NNP          	B-NP 			ஹர்ஷ்,N                              	1
story100.txt	13   	வர்த்தன்                                            	N_NNP          	I-NP 			வர்த்தன்,N,M,,                        	1)
story100.txt	14   	டெல்லியில்                                    	N_NNP          	I-NP 			டெல்லி,N                            	-    
story100.txt	15   	கலந்துகொண்டார்                             	V_VM_VF        	B-VGF			கலந்துகொள்,V                         	-    
story100.txt	16   	.                            	RD_PUNC        	I-VGF			&dot;,punc                         	-    

story100.txt	0    	உலக                                              	N_NN           	B-NP 			உலக,ADJ                            	-    
story100.txt	1    	செஞ்சிலுவை                                   	N_NN           	I-NP 			செஞ்சிலுவை,N                        	-    
story100.txt	2    	நாள்                                              	N_NN           	B-NP 			நாள்,N                              	-    
