#begin document (story100.txt); part 000
story100.txt	tok_No	Token			POS			Coreference
story100.txt	0    	8.4.2               	QT__QTC        	B-JJP   			8.4.2,num                     	-     
story100.txt	1    	ರಾಜ್ಯ                                	JJ             	B-NP    			ರಾಜ್ಯ,adj                       	-     
story100.txt	2    	ವಿಶ್ವವಿದ್ಯಾಲಯಗಳು                    	N__NN          	I-NP    			ವಿಶ್ವವಿದ್ಯಾಲಯ,n                    	-     
story100.txt	3    	ಮತ್ತು                                	CC__CCD        	B-CCP   			ಮತ್ತು,avy                       	-     
story100.txt	4    	ಸಂವಿಧಾನಾತ್ಮಕ                       	JJ             	B-NP    			ಸಂವಿಧಾನ,adj                      	-     
story100.txt	5    	ಕಾಲೇಜುಗಳಿಗೆ                        	N__NN          	I-NP    			ಕಾಲೇಜು,n                         	-     
story100.txt	6    	ನೀಟ್                                 	N__NN          	B-NP    			ನೀಟ್,n                          	-     
story100.txt	7    	ಪರೀಕ್ಷೆ                               	N__NN          	B-NP    			ಪರೀಕ್ಷೆ,n                        	-     
story100.txt	8    	ನಡೆಸುವಂತಿಲ್ಲ                       	V__VM__VF      	B-VGF   			ನಡೆ,v                          	-     

story100.txt	0    	ಆದ್ದರಿಂದ                              	CC__CCS        	B-CCP   			ಆದ್ದರಿಂದ,avy                     	-     
story100.txt	1    	ಡಾ.ಎಂ.ಜಿ.ಆರ್                      	N__NN          	B-NP    			ಡಾ.ಎಂ.ಜಿ.ಆರ್,n                    	-     
story100.txt	2    	.                   	RD__PUNC       	I-NP    			.,punc                        	-     
story100.txt	3    	ವೈದ್ಯಕೀಯ                              	JJ             	B-NP    			ವೈದ್ಯ,adj                       	-     
story100.txt	4    	ವಿಶ್ವವಿದ್ಯಾಲಯ                      	N__NN          	I-NP    			ವಿಶ್ವವಿದ್ಯಾಲಯ,n                    	-     
story100.txt	5    	ಕಾಯ್ದೆಯ                               	N__NN          	B-NP    			ಕಾಯ್ದೆ,n                         	-     
story100.txt	6    	ಭಾಗವಾಗಿರುವ                        	N__NN          	B-NP    			ಭಾಗವಾಗಿರುವ,n                      	-     
story100.txt	7    	ಯಾವುದೇ                                	PR__PRI        	B-NP    			ಯಾವುದೇ,pn                        	-     
story100.txt	8    	ವೈದ್ಯಕೀಯ                              	JJ             	B-NP    			ವೈದ್ಯ,adj                       	-     
story100.txt	9    	ಕಾಲೇಜುಗಳಿಗೆ                        	N__NN          	I-NP    			ಕಾಲೇಜು,n                         	-     
story100.txt	10   	ನೀಟ್                                 	N__NN          	B-NP    			ನೀಟ್,n                          	-     
story100.txt	11   	ಅನ್ನು                                	PSP            	I-NP    			ಅನ್ನು,psp                       	-     
story100.txt	12   	ಕಡ್ಡಾಯಗೊಳಿಸಲು                      	V__VM__VINF    	B-VGINF 			ಕಡ್ಡಾಯಗೊಳ್ಳು,v                     	-     
story100.txt	13   	ಸಾಧ್ಯವಿಲ್ಲ                        	V__VM__VF      	B-VGF   			ಸಾಧ್ಯ,v                         	-     
story100.txt	14   	.                   	RD__PUNC       	B-BLK   			.,punc                        	-     

story100.txt	0    	ಆದ್ದರಿಂದ                              	CC__CCS        	B-CCP   			ಆದ್ದರಿಂದ,avy                     	-     
story100.txt	1    	,                   	RD__PUNC       	I-CCP   			COMMA,punc                    	-     
story100.txt	2    	ರಾಜ್ಯ                                	JJ             	B-NP    			ರಾಜ್ಯ,adj                       	-     
story100.txt	3    	ಕಾನೂನಿನ                               	N__NN          	I-NP    			ಕಾನೂನು,n                         	-     
story100.txt	4    	ಅಡಿಯಲ್ಲಿ                              	RP__RPD        	I-NP    			ಅಡಿಯಲ್ಲಿ,avy                     	-     
