#begin document (story100.txt); part 000
story100.txt	tok_No	Token			POS			Coreference
story100.txt	0    	केंद्रीय                              	NNPC           	B-NP    			केंद्रीय,adj                     	(1
story100.txt	1    	स्वास्थ्य                        	NNPC           	I-NP    			स्वास्थ्य,n                      	1
story100.txt	2    	मंत्री                               	NNP            	B-NP    			मंत्री,n                        	1)
story100.txt	3    	डॉ                                 	NNC            	I-NP    			डॉ,n                          	(1
story100.txt	4    	.            SYM            	I-NP    				.,punc                        	1
story100.txt	5    	मनसुख                               	NNPC           	I-NP    			मनसुख,unk                      	1
story100.txt	6    	मांडविया                       	NNP            	B-NP    			मांडविया,unk                   	1)
story100.txt	7    	ने                                  	PSP            	I-NP    			ने,psp                         	-     
story100.txt	8    	केन्‍द्र                               	NNPC           	B-NP    			केन्,unk                        	(2
story100.txt	9    	सरकार                              	NN             	I-NP    			सरकार,n                       	2
story100.txt	10   	स्‍वास्‍थ्‍य                        	NNPC           	B-NP    			स्,unk                         	2
story100.txt	11   	योजना                              	NN             	I-NP    			योजना,n                       	2
story100.txt	12   	(सीजीएचएस                     	NNP            	B-NP    			(ईजीएचएस,unk                  	2
story100.txt	13   	)                   	SYM            	I-NP    			),punc                        	2)
story100.txt	14   	के                                  	PSP            	B-FRAGP 			का,psp                        	-     
story100.txt	15   	वरिष्ठ                              	JJ             	B-NP    			वरिष्ठ,adj                     	-     
story100.txt	16   	प्रशासनिक                      	JJ             	I-NP    			प्रशासनिक,adj                  	-     
story100.txt	17   	चिकित्सा                       	NNC            	I-NP    			चिकित्सा,n                     	-     
story100.txt	18   	अधिकारियों                     	NN             	I-NP    			अधिकारी,n                     	-     
story100.txt	19   	के                                  	PSP            	I-NP    			का,psp                        	-     
story100.txt	20   	प्रशिक्षण                       	NNC            	B-NP    			प्रशिक्षण,n                     	(5
story100.txt	21   	कार्यक्रम                       	NN             	I-NP    			कार्यक्रम,n                     	5)
story100.txt	22   	के                                  	PSP            	I-NP    			का,psp                        	-     
story100.txt	23   	उद्घाटन                        	NNC            	B-NP    			उद्घाटन,n                      	(3
story100.txt	24   	समारोह                        	NN             	I-NP    			समारोह,n                      	3)
story100.txt	25   	को                                 	PSP            	I-NP    			को,psp                        	-     
story100.txt	26   	संबोधित                        	JJ             	B-JJP   			संबोधित,adj                    	-     
story100.txt	27   	किया                               	VM             	B-VGF   			कर,v                          	-     

story100.txt	0    	&quot;डॉ            	NNP            	B-NP    			&उओट्;डॉ,unk                   	(1
story100.txt	1    	.            SYM            	I-NP    				.,punc                        	1
story100.txt	2    	मनसुख                               	NN             	B-NP    			मनसुख,unk                      	1
story100.txt	3    	मांडविया                       	NNP            	I-NP    			मांडविया,unk                   	1)
story100.txt	4    	ने                                  	PSP            	I-NP    			ने,psp                         	-     
story100.txt	5    	सभी                                	QF             	B-NP    			सब,adj                        	-     
story100.txt	6    	जनों                                	NN             	I-NP    			जन,n                          	-     
story100.txt	7    	से                                  	PSP            	I-NP    			से,psp                         	-     
story100.txt	8    	कर्मयोगी                       	NN             	B-NP    			कर्मयोगी,unk                   	-     
story100.txt	9    	बनने                                	VM             	B-VGNN  			बन,v                          	-     
story100.txt	10   	का                                 	PSP            	I-VGNN  			का,psp                        	-     
story100.txt	11   	अनुरोध                              	NN             	B-NP    			अनुरोध,n                       	-     
story100.txt	12   	किया                               	VM             	B-VGF   			कर,v                          	-     
story100.txt	13   	और                                 	CC             	B-CCP   			और,avy                        	-     
story100.txt	14   	कहा                                	VM             	B-VGF   			कहा,v                         	-     
story100.txt	15   	,                   	SYM            	I-VGF   			&चोम्म,punc                    	-     
story100.txt	16   	&quot;&quot;समर्पण   	NN             	B-NP    			&उओट्;&ऋउओट्;समर्पण,unk          	-     
story100.txt	17   	और                                 	CC             	B-CCP   			और,avy                        	-     
story100.txt	18   	प्रतिबद्धता                     	NN             	B-NP    			प्रतिबद्धता,n                   	-     
story100.txt	19   	राष्ट्र                              	NNPC           	B-NP    			राष्ट्र,n                       	-     
story100.txt	20   	निर्माण                        	NN             	I-NP    			निर्माण,n                      	-     
story100.txt	21   	के                                  	PSP            	I-NP    			का,psp                        	-     
story100.txt	22   	लिए                                	PSP            	I-NP    			लिए,psp                       	-     
story100.txt	23   	महत्वपूर्ण                       	JJ             	B-JJP   			महत्वपूर्ण,adj                   	-     
story100.txt	24   	हैं&quot;&quot;।      	VM             	B-VGF   			हैं&ऋउओट्;&ऋउओट्;.,unk            	-     
story100.txt	25   	&quot;              	NNP            	I-VGF   			&उओट्;,unk                     	-     

story100.txt	0    	वे                                  	PRP            	B-NP    			वह,pn                         	(1)
story100.txt	1    	नई                                 	NNPC           	B-NP    			नई,n                          	-     
story100.txt	2    	दिल्ली                              	NNP            	I-NP    			दिल्ली,n                       	-     
story100.txt	3    	में                                  	PSP            	I-NP    			में,psp                         	-     
story100.txt	4    	केंद्र                                	NNPC           	B-NP    			केंद्र,n                         	-     
story100.txt	5    	सरकार                              	NNP            	I-NP    			सरकार,n                       	-     
story100.txt	6    	स्वास्थ्य                        	NNPC           	I-NP    			स्वास्थ्य,n                      	-     
story100.txt	7    	योजना                              	NNP            	B-NP    			योजना,n                       	-     
story100.txt	8    	के                                  	PSP            	I-NP    			का,psp                        	-     
story100.txt	9    	वरिष्ठ                              	JJ             	B-JJP   			वरिष्ठ,adj                     	-     
story100.txt	10   	कार्यकारी                      	NNC            	B-NP    			कार्यकारी,n                    	-     
story100.txt	11   	चिकित्सा                       	NNC            	I-NP    			चिकित्सा,n                     	-     
story100.txt	12   	अधिकारी                       	NN             	I-NP    			अधिकारी,n                     	-     
story100.txt	13   	प्रशिक्षण                       	NNC            	B-NP    			प्रशिक्षण,n                     	(5
story100.txt	14   	कार्यक्रम                       	NN             	I-NP    			कार्यक्रम,n                     	5)
story100.txt	15   	के                                  	PSP            	I-NP    			का,psp                        	-     
story100.txt	16   	उद्घाटन                        	NNC            	B-NP    			उद्घाटन,n                      	(3
story100.txt	17   	समारोह                        	NN             	I-NP    			समारोह,n                      	3)
story100.txt	18   	को                                 	PSP            	I-NP    			को,psp                        	-     
story100.txt	19   	संबोधित                        	JJ             	B-JJP   			संबोधित,adj                    	-     
story100.txt	20   	कर                                 	VM             	B-VGF   			कर,v                          	-     
story100.txt	21   	रहे                                 	VAUX           	I-VGF   			रह,v                          	-     
story100.txt	22   	थे                                  	VAUX           	I-VGF   			था,v                          	-     
story100.txt	23   	।                           SYM            	I-VGF   				.,punc                        	-     

story100.txt	0    	उन्होंने                              	PRP            	B-NP    			वह,pn                         	(1)
story100.txt	1    	कहा                                	VM             	B-VGF   			कहा,v                         	-     
story100.txt	2    	कि                                 	CC             	B-CCP   			कि,avy                        	-     
story100.txt	3    	प्रतिबद्धता                     	NN             	B-NP    			प्रतिबद्धता,n                   	-     
story100.txt	4    	की                                 	PSP            	I-NP    			का,psp                        	-     
story100.txt	5    	भावना                              	NN             	B-NP    			भावना,n                       	-     
story100.txt	6    	से                                  	PSP            	I-NP    			से,psp                         	-     
story100.txt	7    	काम                                	NN             	B-NP    			काम,n                         	-     
story100.txt	8    	करने                                	VM             	B-VGNN  			कर,v                          	-     
story100.txt	9    	वाले                                	PSP            	I-VGNN  			वाला,psp                      	-     
story100.txt	10   	सभी                                	PRP            	B-NP    			सब,pn                         	-     
story100.txt	11   	को                                 	PSP            	I-NP    			को,psp                        	-     
story100.txt	12   	कर्मयोगी                       	NN             	B-NP    			कर्मयोगी,unk                   	-     
story100.txt	13   	बनना                               	VM             	B-VGF   			बन,v                          	-     
story100.txt	14   	चाहिए                              	VAUX           	I-VGF   			चाह,v                         	-     
story100.txt	15   	।                           SYM            	I-VGF   				.,punc                        	-     

story100.txt	0    	डॉ                                 	NNC            	B-NP    			डॉ,n                          	(1
story100.txt	1    	मनसुख                               	NNPC           	I-NP    			मनसुख,unk                      	1
story100.txt	2    	मंडाविया                       	NNP            	B-NP    			मंडाविया,unk                   	1)
story100.txt	3    	ने                                  	PSP            	I-NP    			ने,psp                         	-     
story100.txt	4    	भी                                 	RP             	I-NP    			भी,avy                        	-     
story100.txt	5    	कहा                                	VM             	B-VGF   			कहा,v                         	-     
story100.txt	6    	कि                                 	CC             	B-CCP   			कि,avy                        	-     
story100.txt	7    	हम                                 	PRP            	B-NP    			मैं,pn                          	-     
story100.txt	8    	सभी                                	PRP            	B-NP    			सब,pn                         	-     
story100.txt	9    	को                                 	PSP            	I-NP    			को,psp                        	-     
story100.txt	10   	सकारात्मक                      	JJ             	B-NP    			सकारात्मक,adj                  	-     
story100.txt	11   	सोच                                	NN             	I-NP    			सोच,n                         	-     
story100.txt	12   	के                                  	PSP            	I-NP    			का,psp                        	-     
story100.txt	13   	साथ                                	NST            	I-NP    			साथ,adv                       	-     
story100.txt	14   	काम                                	NN             	B-NP    			काम,n                         	-     
story100.txt	15   	करना                               	VM             	B-VGF   			कर,v                          	-     
story100.txt	16   	चाहिए                              	VAUX           	I-VGF   			चाह,v                         	-     
story100.txt	17   	।                           SYM            	I-VGF   				.,punc                        	-     

story100.txt	0    	इस                                 	DEM            	B-NP    			यह,pn                         	(3
story100.txt	1    	कार्यक्रम                       	NN             	I-NP    			कार्यक्रम,n                     	3)
story100.txt	2    	में                                  	PSP            	I-NP    			में,psp                         	-     
story100.txt	3    	केंद्रीय                              	NNPC           	B-NP    			केंद्रीय,adj                     	(4
story100.txt	4    	स्वास्थ्य                        	NNPC           	I-NP    			स्वास्थ्य,n                      	4
story100.txt	5    	राज्य                               	NNPC           	I-NP    			राज्य,n                        	4
story100.txt	6    	मंत्री                               	NNP            	B-NP    			मंत्री,n                        	4)
story100.txt	7    	डॉ                                 	NNC            	I-NP    			डॉ,n                          	(4
story100.txt	8    	भारती                              	NNP            	B-NP    			भारती,n                       	4
story100.txt	9    	पवार                               	NNP            	B-NP    			पवार,n                        	4)
story100.txt	10   	और                                 	CC             	B-CCP   			और,avy                        	-     
story100.txt	11   	अन्य                                	NN             	B-NP    			अन्य,n                         	-     
story100.txt	12   	ने                                  	PSP            	I-NP    			ने,psp                         	-     
story100.txt	13   	भाग                                	VM             	B-VGF   			भाग,v                         	-     
story100.txt	14   	लिया                               	VAUX           	I-VGF   			ले,v                           	-     
story100.txt	15   	।                           SYM            	I-VGF   				.,punc                        	-     

story100.txt	0    	केंद्र                                	NNPC           	B-NP    			केंद्र,n                         	(2
story100.txt	1    	सरकार                              	NNP            	I-NP    			सरकार,n                       	2
story100.txt	2    	स्वास्थ्य                        	NNPC           	B-NP    			स्वास्थ्य,n                      	2
story100.txt	3    	योजना                              	NN             	I-NP    			योजना,n                       	2
story100.txt	4    	(सीजीएचएस                     	NNP            	B-NP    			(ईजीएचएस,unk                  	2)
story100.txt	5    	)                   	SYM            	I-NP    			),punc                        	-     
story100.txt	6    	देश                                 	NN             	B-NP    			देश,n                          	-     
story100.txt	7    	के                                  	PSP            	I-NP    			का,psp                        	-     
story100.txt	8    	75                  	QC             	B-NP    			75,num                        	-     
story100.txt	9    	शहरों                               	NN             	I-NP    			शहर,n                         	-     
story100.txt	10   	में                                  	PSP            	I-NP    			में,psp                         	-     
story100.txt	11   	फैले                                 	VM             	B-VGNF  			फैल,v                          	-     
story100.txt	12   	अपने                                	PRP            	B-NP    			अपना,pn                       	(2)
story100.txt	13   	460                 	QC             	I-NP    			460,num                       	-     
story100.txt	14   	कल्याण                              	NNPC           	I-NP    			कल्याण,n                       	-     
story100.txt	15   	केंद्रों                               	NN             	I-NP    			केंद्र,n                         	-     
story100.txt	16   	के                                  	PSP            	I-NP    			का,psp                        	-     
